land.Foraging,land.Grooming,land.Resting,land.Travelling,surface.Foraging,surface.Grooming,surface.Resting,surface.Travelling,underwater.Foraging,underwater.Grooming,underwater.Resting,underwater.Travelling,TOTAL (L),KJ,MJ
0.010604454,0.067868505,0.392364793,0.012725345,0.114528102,0.073170732,0.086956522,0.144220573,0.02757158,0.004241782,0.040296925,0.025450689,1176.448624,24623.0697,24.6230697
0.085930123,0.156751653,0.291784703,0.031161473,0.028328612,0.074598678,0.090651558,0.055712937,0.112370161,0.007554297,0.004721435,0.060434372,1429.153265,29912.17784,29.91217784
0.042816365,0.064700285,0.396764986,0.005708849,0.051379638,0.13320647,0.13320647,0.081826832,0.024738344,0.015223597,0.004757374,0.04567079,1140.847778,23877.944,23.877944
0.076589595,0.104046243,0.294797688,0.005057803,0.089595376,0.052023121,0.106936416,0.100433526,0.11632948,0.00867052,0.007225434,0.038294798,1420.146751,29723.67151,29.72367151
0.031021898,0.070255474,0.283759124,0.008211679,0.130474453,0.115875912,0.045620438,0.115875912,0.135036496,0.006386861,0.010036496,0.047445255,1431.788121,29967.32538,29.96732538
0.04313099,0.125399361,0.267571885,0.014376997,0.03913738,0.158146965,0.107028754,0.075878594,0.139776358,0.003194888,0.002396166,0.023961661,1298.933813,27186.68472,27.18668472
0.061634349,0.042936288,0.313711911,0.018698061,0.118421053,0.063711911,0.120498615,0.092797784,0.106648199,0.004847645,0.008310249,0.047783934,1453.498654,30421.72683,30.42172683
0.027347311,0.0674567,0.240656335,0.025524157,0.062898815,0.182315406,0.117593437,0.127620784,0.07657247,0.008204193,0.016408387,0.047402005,1349.686946,28248.94778,28.24894778
0.076422764,0.11300813,0.225203252,0.009756098,0.06504065,0.157723577,0.095121951,0.087804878,0.091869919,0.015447154,0.027642276,0.03495935,1401.987284,29343.59385,29.34359385
0.072173216,0.096230954,0.301523657,0.045709703,0.033680834,0.102646351,0.036086608,0.121892542,0.124298316,0.01042502,0.013632719,0.04170008,1544.49239,32326.22573,32.32622573
0.079124579,0.063131313,0.343434343,0.045454545,0.117845118,0.054713805,0.042087542,0.075757576,0.142255892,0.015993266,0.001683502,0.018518519,1588.795464,33253.48906,33.25348906
0.056795132,0.082150101,0.307302231,0.047667343,0.076064909,0.098377282,0.084178499,0.055780933,0.135902637,0.010141988,0.029411765,0.016227181,1438.484591,30107.4825,30.1074825
0.059372349,0.088210348,0.306191688,0.027141645,0.120441052,0.145038168,0.034775233,0.112807464,0.040712468,0.016115352,0.019508058,0.029686175,1431.290027,29956.90028,29.95690028
0.026548673,0.097345133,0.315634218,0.029498525,0.050147493,0.129056047,0.084070796,0.117256637,0.081120944,0.012536873,0.025811209,0.030973451,1277.742395,26743.14833,26.74314833
